SMILES,Fitness Values
[C]OCC(=C)CCCCCC=C,"(1.0, 1.0, 1.0, 0.4310322500000001, 0.2773414685714284, 0.3960689395572076)"
C=C(OCCCCCC#N)ONOCCCCCC#N,"(1.0, 1.0, 1.0, 0.4148740000000001, 0.33231561142857136, 0.29889616135169794)"
C#COCCCCCC(=C)OCOCOCCCC#N,"(1.0, 1.0, 1.0, 0.41090950000000004, 0.3253828228571427, 0.2119313679387194)"
C#CCCCOCOC(=C)OCOCCCCCC#N,"(1.0, 1.0, 1.0, 0.41090950000000004, 0.3253828228571427, 0.2119313679387194)"
[C]OCC(=C)CCCCOC=C,"(1.0, 1.0, 1.0, 0.41087975, 0.3655473771428571, 0.3138462625170853)"
C#CCCOCOCOC(=CF)COCCCCCC#N,"(1.0, 1.0, 1.0, 0.4096495, 0.3275444228571427, 0.21352851559106106)"
C=C(CCCCCCC#N)OCOCOCOCC#N,"(1.0, 1.0, 1.0, 0.408169, 0.3565781714285714, 0.2765392989971841)"
C=C(OCOCCCC#N)OCOCCCCCC#N,"(1.0, 1.0, 1.0, 0.408169, 0.3565781714285714, 0.2765392989971841)"
C=C(CCCCCCC#N)CCOCONCOC#N,"(1.0, 1.0, 1.0, 0.4061840000000001, 0.3670756114285714, 0.1730936796059917)"
C=C(CCCCCCC#N)CCONCOCOC#N,"(1.0, 1.0, 1.0, 0.4061840000000001, 0.3670756114285714, 0.1730936796059917)"
C=C(CCOCCCC#N)ONOCCCCCC#N,"(1.0, 1.0, 1.0, 0.4061840000000001, 0.36707561142857137, 0.2990957418657976)"
C=C(CCCCOCCCC#N)ONOCCCC#N,"(1.0, 1.0, 1.0, 0.4061840000000001, 0.36707561142857137, 0.2990957418657976)"
C=C(CCONOCCCC#N)OCCCCCC#N,"(1.0, 1.0, 1.0, 0.4061840000000001, 0.36707561142857137, 0.2990957418657976)"
C=C(CCCOCCCC#N)ONOCCCCC#N,"(1.0, 1.0, 1.0, 0.4061840000000001, 0.36707561142857137, 0.2990957418657976)"
C=C(OCOCCCC#N)ONCCCCCCC#N,"(1.0, 1.0, 1.0, 0.4061840000000001, 0.36707561142857137, 0.22786337168196558)"
[C]OCC(=C)CCCCC=C,"(1.0, 1.0, 1.0, 0.40252975000000013, 0.3185957885714285, 0.40133657027572955)"
C#CCCCCOCC(=C)OCOCOCCCC#N,"(1.0, 1.0, 1.0, 0.40221950000000006, 0.36014282285714283, 0.21187217131913932)"
C#CCCCOCOCOC(=C)COCCCCC#N,"(1.0, 1.0, 1.0, 0.40221950000000006, 0.36014282285714283, 0.21187217131913932)"
C#CCCCOCOC(=C)CCOCOCCCC#N,"(1.0, 1.0, 1.0, 0.40221950000000006, 0.36014282285714283, 0.21187217131913932)"
C#CCCOCOCOC(=C)CCOCCCCC#N,"(1.0, 1.0, 1.0, 0.40221950000000006, 0.36014282285714283, 0.21187217131913932)"
C#CCCOCOCOC(=C)COCCCCCC#N,"(1.0, 1.0, 1.0, 0.40221950000000006, 0.36014282285714283, 0.21187217131913932)"
C#COCCOCCCCC(=C)OCOCCCC#N,"(1.0, 1.0, 1.0, 0.40221950000000006, 0.36014282285714283, 0.21187217131913932)"
C#CCCOCCCC(=C)OCOCOCCCC#N,"(1.0, 1.0, 1.0, 0.40221950000000006, 0.36014282285714283, 0.21187217131913932)"
C#CCCCOCOCOC(=C)CCCOCCC#N,"(1.0, 1.0, 1.0, 0.40221950000000006, 0.36014282285714283, 0.21187217131913932)"
C#CCCCOCOCC(=C)OCOCCCCC#N,"(1.0, 1.0, 1.0, 0.40221950000000006, 0.36014282285714283, 0.21187217131913932)"
C#CCCCCOCOC(=C)COCOCCCC#N,"(1.0, 1.0, 1.0, 0.40221950000000006, 0.36014282285714283, 0.21187217131913932)"
C#CCCOCCOC(=CF)CCOCOCCCC#N,"(1.0, 1.0, 1.0, 0.40095950000000014, 0.3623044228571428, 0.2134078531564732)"
C#CCCCCCONOC(=C)OCOCCCC#C,"(1.0, 1.0, 1.0, 0.4002025, 0.35813082285714287, 0.17423342444974904)"
C=C(COCCCCC#N)OCOCOCCCC#N,"(1.0, 1.0, 1.0, 0.39947900000000003, 0.39133817142857147, 0.27629190216643273)"
C=C(CCCOCCC#N)OCOCOCCCC#N,"(1.0, 1.0, 1.0, 0.39947900000000003, 0.39133817142857147, 0.27629190216643273)"
C=C(COCOCCCC#N)OCOCCCCC#N,"(1.0, 1.0, 1.0, 0.39947900000000003, 0.39133817142857147, 0.27629190216643273)"
C=C(CCCCOCOCC#N)OCOCCCC#N,"(1.0, 1.0, 1.0, 0.39947900000000003, 0.39133817142857147, 0.27629190216643273)"
C=C(COCCCCCC#N)OCOCOCCC#N,"(1.0, 1.0, 1.0, 0.39947900000000003, 0.39133817142857147, 0.27629190216643273)"
C=C(CCOCOCCCC#N)OCOCCCC#N,"(1.0, 1.0, 1.0, 0.39947900000000003, 0.39133817142857147, 0.27629190216643273)"
C=C(OCCCOCCCC#N)OCOCCCC#N,"(1.0, 1.0, 1.0, 0.39947900000000003, 0.39133817142857147, 0.27629190216643273)"
C=C(CCCOCOCCC#N)OCOCCCC#N,"(1.0, 1.0, 1.0, 0.39947900000000003, 0.39133817142857147, 0.27629190216643273)"
C=C(OCCCCCC#N)OCOCCOCCC#N,"(1.0, 1.0, 1.0, 0.39947900000000003, 0.39133817142857147, 0.27629190216643273)"
C=C(CCOCCCCCC#N)OCOCOCC#N,"(1.0, 1.0, 1.0, 0.39947900000000003, 0.39133817142857147, 0.27629190216643273)"
C=C(CCOCCCCOC#N)OCOCCCC#N,"(1.0, 1.0, 1.0, 0.39947900000000003, 0.39133817142857147, 0.21049047373036642)"
C=C(CCCCCOCC#N)CCOCOCOC#N,"(1.0, 1.0, 1.0, 0.39947900000000003, 0.39133817142857147, 0.21049047373036642)"
C=C(CCCOCCCCC#N)OCOCCOC#N,"(1.0, 1.0, 1.0, 0.39947900000000003, 0.39133817142857147, 0.21049047373036642)"
C=C(CCOCOCCCC#N)OCCCCOC#N,"(1.0, 1.0, 1.0, 0.39947900000000003, 0.39133817142857147, 0.21049047373036642)"
[C]OCC(=C)OCCCOC=CF,"(1.0, 1.0, 1.0, 0.39815725, 0.4211548857142858, 0.4289435657510768)"
C#CCCCOCOCCC(=O)CCCCCOC#N,"(1.0, 1.0, 1.0, 0.39769450000000006, 0.3849628228571429, 0.21156430107222096)"
N#CCCCCCOCC(=N)CCOCOCCC#N,"(1.0, 1.0, 1.0, 0.39753075000000004, 0.41182003999999994, 0.2992408927669023)"
N#CCCOCCCCC(=N)COCCCCOC#N,"(1.0, 1.0, 1.0, 0.39753075000000004, 0.41182003999999994, 0.2992408927669023)"
N#CCOCCCCCCC(=N)CCOCCOC#N,"(1.0, 1.0, 1.0, 0.39753075000000004, 0.41182003999999994, 0.2992408927669023)"
C=C(CCCCCOCC#N)CCONOCCC#N,"(1.0, 1.0, 1.0, 0.397494, 0.40183561142857144, 0.29869814471388095)"
C=C(NCOCOCCCC#N)OCCCCCC#N,"(1.0, 1.0, 1.0, 0.397494, 0.40183561142857144, 0.2986981447138809)"
C=C(NCOCCCCCC#N)OCOCCCC#N,"(1.0, 1.0, 1.0, 0.397494, 0.40183561142857144, 0.2986981447138809)"
C=C(CCOCCCC#N)CCONOCCCC#N,"(1.0, 1.0, 1.0, 0.397494, 0.40183561142857144, 0.2986981447138809)"
C=C(NCCCCCC#N)OCOCOCCCC#N,"(1.0, 1.0, 1.0, 0.397494, 0.40183561142857144, 0.2986981447138809)"
C=C(CCCCOCCCC#N)OCONCCC#N,"(1.0, 1.0, 1.0, 0.397494, 0.40183561142857144, 0.22756046590657164)"
C=C(CCONCCCOC#N)OCCCCCC#N,"(1.0, 1.0, 1.0, 0.397494, 0.40183561142857144, 0.2275604659065716)"
C=C(CCCNOCCC#N)OCOCCCCC#N,"(1.0, 1.0, 1.0, 0.397494, 0.40183561142857144, 0.2275604659065716)"
C=C(NCCCCCCCC#N)OCOCCOC#N,"(1.0, 1.0, 1.0, 0.397494, 0.40183561142857144, 0.2275604659065716)"
C=C(CCCCCNOCC#N)OCOCCCC#N,"(1.0, 1.0, 1.0, 0.397494, 0.40183561142857144, 0.2275604659065716)"
C=C(CCOCONCCC#N)OCCCCCC#N,"(1.0, 1.0, 1.0, 0.397494, 0.40183561142857144, 0.2275604659065716)"
C=C(CCCCONCCC#N)OCOCCCC#N,"(1.0, 1.0, 1.0, 0.397494, 0.40183561142857144, 0.2275604659065716)"
C=C(CCONCCCCC#N)OCOCCCC#N,"(1.0, 1.0, 1.0, 0.397494, 0.40183561142857144, 0.2275604659065716)"
C=C(CCCCCNCOC#N)OCOCCCC#N,"(1.0, 1.0, 1.0, 0.397494, 0.40183561142857144, 0.2275604659065716)"
C=C(CCCNOCCCC#N)OCOCCCC#N,"(1.0, 1.0, 1.0, 0.397494, 0.40183561142857144, 0.2275604659065716)"
C=C(CCCCCCONC#N)CCOCCOC#N,"(1.0, 1.0, 1.0, 0.397494, 0.40183561142857144, 0.17286358086370668)"
C=C(CCCOCOC#N)CCONCCCCC#N,"(1.0, 1.0, 1.0, 0.397494, 0.40183561142857144, 0.17286358086370668)"
C#CCCCONOC(=C)OCOCCCCCC#N,"(1.0, 1.0, 1.0, 0.397462, 0.3893261714285715, 0.17332332356017097)"
C#CCCCOCOC(=C)ONOCCCCCC#N,"(1.0, 1.0, 1.0, 0.397462, 0.3893261714285715, 0.17332332356017097)"
C#CCCCCCONOC(=C)OCOCCCC#N,"(1.0, 1.0, 1.0, 0.397462, 0.3893261714285715, 0.17332332356017097)"
C#CCCCCCONOC(=C)ONCCCCC#N,"(1.0, 1.0, 1.0, 0.3954770000000001, 0.39982361142857137, 0.22017249738004666)"
N#CCCCCCCCC(=O)COCOCOCC#N,"(1.0, 1.0, 1.0, 0.394954, 0.4161581714285714, 0.358318700942083)"
N#CCCCCCCC(=O)COCCCOCOC#N,"(1.0, 1.0, 1.0, 0.394954, 0.4161581714285714, 0.2755743093214871)"
C=C(OCOCCCC#N)ONOCCCCCC#N,"(1.0, 1.0, 1.0, 0.39472150000000006, 0.42052152000000004, 0.2259296371730557)"
